Book Number,total verses in book from beginning,Verses in book,Book,Verses done,
01O,1533,1533,Genesis ,1533,
02O,2746,1213,Exodus ,1213,
03O,3605,859,Leviticus ,859,
04O,4894,1289,Numbers ,1289,
05O,5853,959,Deuteronomy ,959,
06O,6511,658,Joshua ,658,
07O,7129,618,Judges ,618,
08O,7214,85,Ruth ,85,
09O,8025,811,1Samuel ,811,
10O,8720,695,2Samuel ,695,
11O,9537,817,1Kings ,817,
12O,10256,719,2Kings ,719,
13O,11199,943,1Chronicles ,943,
14O,12021,822,2Chronicles ,822,
15O,12301,280,Ezra ,280,
16O,12706,405,Nehemiah ,0,
17O,12873,167,Esther ,167,
18O,13943,1070,Job ,1070,
19O,16470,2527,Psalms ,2527,
20O,17385,915,Proverbs ,915,
21O,17607,222,Ecclesiastes ,222,
22O,17724,117,Sos ,117,
23O,19015,1291,Isaiah ,1291,
24O,20379,1364,Jeremiah ,1364,
25O,20533,154,Lamentations ,154,
26O,21806,1273,Ezekiel ,1273,
27O,22163,357,Daniel ,357,
28O,22360,197,Hosea ,197,
29O,22433,73,Joel ,73,
30O,22579,146,Amos ,146,
31O,22600,21,Obadiah ,21,
32O,22648,48,Jonah ,48,
33O,22753,105,Micah ,105,
34O,22800,47,Nahum ,47,
35O,22856,56,Habakkuk ,56,
36O,22909,53,Zephaniah ,53,
37O,22947,38,Haggai ,38,
38O,23158,211,Zechariah ,211,
39O,23213,55,Malachi ,55,
,,,,,
,,,,,
